511263.5400	8660909.7800	723.0233
511261.9670	8660919.5400	722.0223
511254.9320	8660928.1700	721.4451
511247.2990	8660935.7800	721.2818
511241.9080	8660943.0500	720.9355
511235.8030	8660951.9100	720.6308
511231.2460	8660960.4800	720.7532
511227.5210	8660971.2200	720.7497
511227.5390	8660976.6200	720.7261
511228.3620	8660981.7600	721.3902
511231.2140	8660989.3400	721.6153
511233.1580	8660996.3500	722.1362
511232.8300	8661012.0900	721.9834
511228.8060	8661024.7500	721.7330
511228.1280	8661037.7800	721.5787
511228.2210	8661050.1000	722.7551
511228.7340	8661062.9100	723.3726
511224.8570	8661072.8200	722.7209
511222.4010	8661088.8000	722.6981
511217.9840	8661101.2000	722.6181
511209.7370	8661115.2300	722.0899
511199.6970	8661140.6000	722.2427
511188.9960	8661154.8200	721.6330
511184.5590	8661167.9900	721.5131
511182.1320	8661177.7700	721.6210
511174.8040	8661192.9000	721.4420
511170.2280	8661202.3500	721.5510
