NAME,Height,Easting,Northing
Battfjellet Formation,,538598.719,8591841.012
Battfjellet Formation,,538639.973,8591813.006
Battfjellet Formation,,538682.054,8591786.001
Battfjellet Formation,,538724.134,8591758.997
Battfjellet Formation,,538766.214,8591731.992
Battfjellet Formation,,538808.294,8591704.987
Battfjellet Formation,,538850.374,8591677.982
Battfjellet Formation,,538892.455,8591650.978
Battfjellet Formation,,538934.535,8591623.973
Battfjellet Formation,,538976.615,8591596.968
Battfjellet Formation,,539019.289,8591571.295
Battfjellet Formation,,539067.496,8591558.026
Battfjellet Formation,,539115.704,8591544.757
Battfjellet Formation,,539163.911,8591531.488
Battfjellet Formation,,539212.118,8591518.219
Battfjellet Formation,,539260.325,8591504.950
Battfjellet Formation,,539308.519,8591491.633
Battfjellet Formation,,539356.557,8591477.765
Battfjellet Formation,,539404.595,8591463.897
Battfjellet Formation,,539452.634,8591450.029
Battfjellet Formation,,539228.560,8592096.244
Battfjellet Formation,,539272.344,8592074.576
Battfjellet Formation,,539313.956,8592048.851
Battfjellet Formation,,539330.593,8592001.700
Battfjellet Formation,,539347.230,8591954.549
Battfjellet Formation,,539363.867,8591907.398
Battfjellet Formation,,539380.503,8591860.247
Battfjellet Formation,,539397.140,8591813.096
Battfjellet Formation,,539413.777,8591765.945
Battfjellet Formation,,539430.414,8591718.794
Battfjellet Formation,,539447.051,8591671.643
Battfjellet Formation,,539463.687,8591624.492
Battfjellet Formation,,539479.727,8591577.140
Battfjellet Formation,,539494.928,8591529.507
Battfjellet Formation,,539510.129,8591481.873
Battfjellet Formation,,539498.741,8591510.979
Battfjellet Formation,,539483.540,8591558.613
Battfjellet Formation,,539468.040,8591606.146
Battfjellet Formation,,539451.403,8591653.297
Battfjellet Formation,,539434.766,8591700.448
Battfjellet Formation,,539418.129,8591747.599
Battfjellet Formation,,539401.493,8591794.750
Battfjellet Formation,,539384.856,8591841.901
Battfjellet Formation,,539368.219,8591889.052
Battfjellet Formation,,539351.582,8591936.203
Battfjellet Formation,,539334.945,8591983.354
Battfjellet Formation,,539318.309,8592030.505
Battfjellet Formation,,539286.611,8592064.706
Battfjellet Formation,,539242.486,8592088.222
Battfjellet Formation,591.765,544463.055,8626907.360
Battfjellet Formation,595.591,544508.535,8626895.846
Battfjellet Formation,596.743,544556.439,8626881.520
Battfjellet Formation,598.439,544604.342,8626867.193
Battfjellet Formation,618.087,544652.246,8626852.867
Battfjellet Formation,613.204,544701.359,8626843.722
Battfjellet Formation,630.352,544750.656,8626835.367
Battfjellet Formation,627.378,544799.952,8626827.012
Battfjellet Formation,631.150,544849.249,8626818.656
Battfjellet Formation,637.301,544897.437,8626813.678
Battfjellet Formation,641.277,544932.170,8626849.645
Battfjellet Formation,641.545,544966.634,8626885.725
Battfjellet Formation,638.694,544968.032,8626935.705
Battfjellet Formation,632.262,544969.431,8626985.686
Battfjellet Formation,617.672,544970.829,8627035.666
Battfjellet Formation,616.284,544972.227,8627085.646
Battfjellet Formation,619.701,544973.626,8627135.627
Battfjellet Formation,622.748,544975.024,8627185.607
Battfjellet Formation,628.967,544977.232,8627235.552
Battfjellet Formation,627.544,544980.197,8627285.464
Battfjellet Formation,632.504,544983.161,8627335.377
Battfjellet Formation,643.666,544986.125,8627385.289
Battfjellet Formation,658.387,544989.089,8627435.201
Battfjellet Formation,648.364,544992.053,8627485.113
Battfjellet Formation,641.175,544995.018,8627535.025
Battfjellet Formation,637.536,544997.982,8627584.937
Battfjellet Formation,638.792,545005.861,8627634.258
Battfjellet Formation,644.852,545014.810,8627683.451
Battfjellet Formation,661.978,545023.758,8627732.644
Battfjellet Formation,653.132,545032.707,8627781.836
Battfjellet Formation,659.137,545038.626,8627831.276
Battfjellet Formation,648.076,545037.754,8627881.268
Battfjellet Formation,651.188,544994.880,8627887.767
Battfjellet Formation,633.933,544944.887,8627886.894
Battfjellet Formation,617.428,544896.652,8627874.891
Battfjellet Formation,590.788,544848.823,8627860.318
Battfjellet Formation,583.409,544802.584,8627841.558
Battfjellet Formation,581.334,544757.133,8627820.720
Battfjellet Formation,583.409,544794.595,8627840.096
Battfjellet Formation,590.788,544840.454,8627859.859
Battfjellet Formation,598.434,544888.283,8627874.432
Battfjellet Formation,633.933,544936.156,8627888.742
Battfjellet Formation,654.431,544986.149,8627889.615
Battfjellet Formation,645.954,545036.141,8627890.487
Battfjellet Formation,659.137,545040.412,8627843.570
Battfjellet Formation,656.998,545036.940,8627793.931
Battfjellet Formation,661.978,545027.991,8627744.738
Battfjellet Formation,647.985,545019.043,8627695.545
Battfjellet Formation,631.345,545010.094,8627646.353
Battfjellet Formation,639.595,545001.146,8627597.160
Battfjellet Formation,641.175,544997.750,8627547.300
Battfjellet Formation,649.356,544994.786,8627497.388
Battfjellet Formation,641.821,544991.822,8627447.476
