Easting,Northing,Height
551564.305,8598703.704,577.386
551611.099,8598686.086,575.847
551657.892,8598668.469,573.573
551657.362,8598666.532,573.573
551610.569,8598684.149,575.847
551563.775,8598701.766,577.386
551520.082,8598722.293,595.561
551529.647,8598766.242,581.565
553192.825,8605078.951,535.157
553190.286,8605127.305,548.437
553182.906,8605176.645,597.621
553173.826,8605225.813,574.984
553131.726,8605234.594,560.437
553081.734,8605233.721,559.104
553031.741,8605232.849,552.045
552984.772,8605220.100,559.820
552940.448,8605196.963,563.794
552896.124,8605173.825,554.671
552851.799,8605150.687,554.576
552832.770,8605106.373,580.573
552817.789,8605058.670,593.726
552802.808,8605010.967,601.110
552787.827,8604963.264,595.394
552784.026,8604913.947,589.474
552781.970,8604917.117,589.474
552786.686,8604966.307,595.394
552801.667,8605014.010,601.110
552816.648,8605061.713,593.726
552831.629,8605109.416,580.573
552851.715,8605152.899,554.576
552896.040,8605176.037,554.671
552940.364,8605199.175,563.794
552984.688,8605222.313,559.820
553031.724,8605234.849,552.045
553081.716,8605235.721,559.104
553131.709,8605236.594,560.437
553175.234,8605229.200,574.984
553184.314,8605180.032,597.621
553192.226,8605130.745,564.554
553193.099,8605080.753,535.157
551123.990,8622901.005,601.350
551155.789,8622939.277,613.882
551188.211,8622977.341,622.534
551220.632,8623015.404,625.161
551253.054,8623053.468,629.394
551285.476,8623091.531,639.852
551317.898,8623129.595,631.627
551350.319,8623167.658,626.369
551382.741,8623205.722,631.999
551415.163,8623243.785,623.094
551447.585,8623281.849,627.267
551480.006,8623319.912,620.390
551512.428,8623357.976,615.020
551543.784,8623396.908,616.117
551574.487,8623436.370,601.831
551605.191,8623475.833,610.193
551635.894,8623515.295,605.671
551666.598,8623554.758,618.577
551697.301,8623594.220,617.013
551728.005,8623633.683,628.012
551758.709,8623673.145,623.356
551789.412,8623712.608,634.351
551820.116,8623752.070,631.708
551850.819,8623791.533,634.951
551881.523,8623830.995,644.880
551912.347,8623870.356,642.262
551945.975,8623907.359,643.548
551979.602,8623944.362,652.949
552013.230,8623981.364,654.312
552046.857,8624018.367,655.326
552080.485,8624055.369,661.385
552114.112,8624092.372,662.935
552147.740,8624129.374,666.763
552184.443,8624163.183,669.690
552222.692,8624195.385,673.229
552260.942,8624227.587,676.277
552299.191,8624259.790,678.789
552337.441,8624291.992,677.645
552375.690,8624324.194,680.954
552413.940,8624356.396,683.127
552452.189,8624388.598,687.340
552490.439,8624420.800,687.573
552528.688,8624453.002,688.500
552566.938,8624485.204,691.883
552605.187,8624517.406,696.016
552643.437,8624549.608,699.235
552656.249,8624593.378,711.327
552655.376,8624643.370,722.332
552654.504,8624693.362,739.312
552656.493,8624693.973,739.312
552657.366,8624643.981,722.332
552658.239,8624593.989,711.327
552646.571,8624549.633,699.235
552608.322,8624517.431,696.016
552570.072,8624485.228,692.213
552531.823,8624453.026,689.811
552493.573,8624420.824,687.573
552455.324,8624388.622,687.340
552417.074,8624356.420,683.127
552378.824,8624324.218,680.954
552340.575,8624292.016,677.645
552302.325,8624259.814,678.789
552264.076,8624227.612,676.277
552225.826,8624195.410,673.229
552187.577,8624163.208,669.690
552150.664,8624129.618,665.721
552117.036,8624092.615,662.935
552083.409,8624055.613,661.385
552049.781,8624018.610,655.326
552016.153,8623981.608,654.312
551982.526,8623944.605,652.949
551948.898,8623907.602,643.548
551915.271,8623870.600,642.262
551884.326,8623831.341,644.880
551853.622,8623791.878,634.951
551822.919,8623752.416,631.708
551792.215,8623712.953,628.427
551761.511,8623673.491,623.356
551730.808,8623634.028,617.441
551700.104,8623594.565,617.013
551669.401,8623555.103,618.577
551638.697,8623515.640,605.671
551607.993,8623476.178,610.193
551577.290,8623436.715,601.831
551546.586,8623397.253,616.117
551515.301,8623358.264,615.020
551482.879,8623320.201,620.390
551450.457,8623282.137,615.384
551418.036,8623244.074,623.094
551385.614,8623206.010,631.999
551353.192,8623167.947,626.369
551320.770,8623129.883,631.627
551288.349,8623091.820,639.852
551255.927,8623053.756,629.394
551223.505,8623015.693,625.161
551191.084,8622977.629,618.377
551158.662,8622939.565,613.882
551126.240,8622901.502,601.350
546483.318,8629829.326,309.518
546506.671,8629871.958,328.266
546532.129,8629914.992,330.742
546557.587,8629958.025,335.241
546583.045,8630001.059,338.802
546608.502,8630044.093,342.958
546633.960,8630087.127,338.967
546657.562,8630131.097,350.873
546677.068,8630177.135,352.962
546696.575,8630223.173,352.401
546716.081,8630269.211,357.786
546735.588,8630315.249,361.832
546755.094,8630361.287,363.483
546774.601,8630407.325,363.387
546794.107,8630453.363,364.110
546813.613,8630499.401,354.700
546820.910,8630547.809,373.383
546820.037,8630597.801,369.847
546819.165,8630647.793,367.362
546818.292,8630697.786,350.841
546811.185,8630746.832,363.641
546797.189,8630794.833,355.783
546805.820,8630772.378,363.415
546819.804,8630724.374,348.165
546820.701,8630674.384,366.544
546821.574,8630624.392,371.289
546822.446,8630574.399,369.838
546823.319,8630524.407,364.823
546806.638,8630477.811,363.262
546787.131,8630431.773,380.913
546767.625,8630385.735,369.724
546748.119,8630339.697,367.642
546728.612,8630293.659,366.702
546709.106,8630247.621,360.707
546689.599,8630201.583,363.511
546670.093,8630155.545,345.965
546649.768,8630109.920,345.593
546624.310,8630066.886,340.886
546598.852,8630023.853,334.304
546573.395,8629980.819,334.226
546547.937,8629937.785,339.073
546522.479,8629894.751,330.506
546497.022,8629851.717,319.233
546806.034,8631159.316,326.381
546846.372,8631185.038,339.408
546891.305,8631206.970,363.256
546936.239,8631228.902,382.002
546981.172,8631250.834,415.107
547026.105,8631272.765,416.315
547050.476,8631315.528,416.455
547072.987,8631360.173,415.054
547095.499,8631404.819,410.262
547118.011,8631449.464,405.277
547140.522,8631494.110,403.878
547163.034,8631538.756,397.861
547172.700,8631586.572,382.210
547173.551,8631636.565,392.993
547174.402,8631686.558,400.212
547175.252,8631736.550,417.054
547176.103,8631786.543,423.130
547176.954,8631836.536,427.625
547177.805,8631886.529,416.153
547178.655,8631936.522,405.230
547180.296,8631986.292,387.032
547207.300,8632028.372,366.281
547234.305,8632070.452,374.670
547261.310,8632112.532,394.074
547288.315,8632154.613,411.978
547300.571,8632202.327,432.682
547308.500,8632251.694,459.230
547316.430,8632301.061,451.088
547324.359,8632350.429,466.812
547332.288,8632399.796,458.287
547340.217,8632449.163,456.695
547348.146,8632498.531,461.559
547356.075,8632547.898,466.762
547360.603,8632597.507,470.669
547359.730,8632647.499,474.254
547358.858,8632697.491,473.829
547357.985,8632747.484,473.309
547357.112,8632797.476,473.409
547356.240,8632847.469,472.238
547355.367,8632897.461,470.524
547354.494,8632947.453,466.153
547343.767,8632995.890,466.138
547329.194,8633043.719,466.268
547314.621,8633091.548,448.753
547300.048,8633139.377,447.218
547285.475,8633187.206,446.269
547270.902,8633235.035,433.485
547250.656,8633279.534,434.813
547215.999,8633315.575,435.188
547181.342,8633351.615,439.625
547146.685,8633387.655,452.505
547112.028,8633423.696,444.663
547077.372,8633459.736,444.434
547034.168,8633481.980,446.168
546986.465,8633496.961,423.450
546958.993,8633463.688,423.004
546936.237,8633419.166,417.245
546913.481,8633374.645,416.966
546890.726,8633330.123,414.683
546867.970,8633285.602,397.241
546840.869,8633243.654,399.846
546812.752,8633202.309,401.368
546784.635,8633160.963,382.750
546756.518,8633119.618,387.161
546755.620,8633121.853,387.161
546783.737,8633163.198,382.750
546811.853,8633204.544,401.368
546839.970,8633245.889,399.846
546866.914,8633287.930,397.241
546889.669,8633332.452,399.195
546912.425,8633376.973,416.966
546935.181,8633421.495,417.245
546957.937,8633466.016,423.004
546985.641,8633499.316,423.450
547033.344,8633484.335,446.168
547077.079,8633462.926,444.434
547111.735,8633426.886,444.663
547146.392,8633390.845,445.293
547181.049,8633354.805,439.625
547215.706,8633318.765,435.188
547250.363,8633282.725,434.813
547271.811,8633238.916,433.485
547286.384,8633191.087,443.944
547300.957,8633143.258,447.218
547315.530,8633095.429,448.753
547330.103,8633047.599,464.034
547344.676,8632999.770,466.138
547356.424,8632951.492,464.522
547357.297,8632901.500,470.524
547358.169,8632851.508,471.931
547359.042,8632801.515,473.409
547359.915,8632751.523,472.820
547360.787,8632701.531,473.829
547361.660,8632651.538,473.525
547362.533,8632601.546,470.669
547358.741,8632551.884,466.780
547350.812,8632502.517,451.719
547342.883,8632453.149,456.008
547334.954,8632403.782,458.287
547327.025,8632354.415,466.812
547319.095,8632305.047,451.088
547311.166,8632255.680,442.443
547303.237,8632206.313,432.682
547292.798,8632157.895,405.933
547265.793,8632115.815,394.074
547238.788,8632073.735,374.670
547211.784,8632031.655,365.669
547184.779,8631989.574,387.032
547180.724,8631940.551,405.230
547179.873,8631890.558,411.619
547179.023,8631840.565,427.625
547178.172,8631790.573,426.527
547177.321,8631740.580,417.054
547176.470,8631690.587,406.172
547175.620,8631640.594,392.993
547174.769,8631590.602,386.816
547167.056,8631542.291,397.861
547144.545,8631497.646,403.878
547122.033,8631453.000,410.560
547099.522,8631408.354,410.262
547077.010,8631363.709,415.054
547054.498,8631319.063,416.455
547031.987,8631274.418,408.512
546987.700,8631251.795,415.107
546942.767,8631229.863,382.002
546897.834,8631207.931,363.256
546852.901,8631185.999,344.687
546809.291,8631162.494,326.381
539371.690,8636308.291,203.499
539324.671,8636291.445,195.853
539275.284,8636287.186,215.255
539225.292,8636286.313,216.465
539175.300,8636285.441,215.481
539125.307,8636284.568,211.388
539075.315,8636283.696,208.225
539029.052,8636266.950,196.322
538983.901,8636245.469,187.307
538938.751,8636223.987,200.096
538892.689,8636208.244,205.888
538843.146,8636214.984,217.223
538793.602,8636221.723,217.147
538744.058,8636228.462,216.485
538694.795,8636229.367,211.687
538646.129,8636217.894,209.029
538597.463,8636206.422,215.100
538548.797,8636194.949,210.836
538500.131,8636183.477,211.905
538451.465,8636172.004,210.536
538402.799,8636160.531,210.571
538353.829,8636150.651,208.434
538304.360,8636143.388,209.751
538254.890,8636136.125,205.781
538205.420,8636128.861,205.382
538155.951,8636121.598,203.681
538106.481,8636114.335,199.325
538057.011,8636107.072,202.848
538007.542,8636099.809,196.550
537958.072,8636092.546,191.668
537908.571,8636085.526,189.604
537858.895,8636079.842,183.705
537809.219,8636074.158,173.187
537759.543,8636068.474,177.760
537709.867,8636062.790,163.183
537660.191,8636057.106,156.394
537610.515,8636051.422,148.599
537560.840,8636045.738,142.834
537511.164,8636040.054,127.759
537461.488,8636034.370,100.696
537411.812,8636028.686,96.491
537362.136,8636023.002,119.341
537312.460,8636017.318,125.293
537262.784,8636011.634,120.224
537213.109,8636005.950,125.669
537163.433,8636000.266,117.123
537113.757,8635994.582,107.715
537064.081,8635988.898,107.788
537014.405,8635983.214,109.515
536966.236,8635970.394,101.732
536918.501,8635955.514,112.459
536870.767,8635940.634,133.619
536823.032,8635925.753,137.932
536775.298,8635910.873,130.605
536727.563,8635895.993,132.144
536679.829,8635881.113,142.395
536632.094,8635866.232,145.940
536584.360,8635851.352,140.151
536536.626,8635836.472,142.760
536488.891,8635821.591,145.066
536441.157,8635806.711,147.993
536393.176,8635792.824,145.273
536344.008,8635783.745,148.741
536294.839,8635774.666,142.238
536245.670,8635765.586,132.744
536196.501,8635756.507,125.871
536147.333,8635747.427,128.259
536098.164,8635738.348,129.438
536048.995,8635729.268,130.261
535999.827,8635720.189,127.055
535950.658,8635711.109,124.414
535901.489,8635702.030,122.993
535852.320,8635692.950,119.049
535803.152,8635683.871,114.292
535753.983,8635674.792,92.527
535704.814,8635665.712,109.722
535655.645,8635656.633,110.469
535606.475,8635647.562,105.766
535557.217,8635638.982,105.515
535507.959,8635630.402,100.807
535458.700,8635621.822,105.957
535409.442,8635613.242,101.199
535360.183,8635604.662,108.287
535310.925,8635596.083,100.185
535261.667,8635587.503,94.287
535212.408,8635578.923,87.157
535163.150,8635570.343,77.852
535113.728,8635562.859,83.874
535064.113,8635556.666,67.277
535014.498,8635550.472,57.303
534964.883,8635544.279,69.521
534915.268,8635538.085,71.076
534865.653,8635531.892,63.736
534816.038,8635525.698,65.576
534766.423,8635519.505,66.721
534717.009,8635512.288,60.747
534668.721,8635499.317,65.546
534620.433,8635486.345,65.047
534572.144,8635473.374,60.904
534523.856,8635460.402,58.727
534475.568,8635447.431,57.559
534428.097,8635432.951,49.024
534390.832,8635399.614,54.070
534353.567,8635366.278,55.671
534316.302,8635332.942,52.008
534279.036,8635299.605,54.896
534241.771,8635266.269,55.730
534204.506,8635232.932,53.151
534167.241,8635199.596,54.666
534129.976,8635166.259,56.689
534096.899,8635129.181,61.018
534067.946,8635088.417,59.909
534038.993,8635047.652,59.753
534010.040,8635006.888,59.044
533981.087,8634966.124,55.620
533952.134,8634925.359,53.930
533923.181,8634884.595,49.782
533895.600,8634842.918,47.615
533869.174,8634800.472,42.320
533842.748,8634758.026,39.249
533816.322,8634715.580,36.189
533789.897,8634673.133,31.140
533763.471,8634630.687,27.938
533752.731,8634583.905,25.723
533753.604,8634533.913,24.340
533754.476,8634483.920,23.078
533755.349,8634433.928,23.819
533756.221,8634383.935,23.084
533757.094,8634333.943,23.429
533760.082,8634284.034,24.753
533763.126,8634234.126,25.184
533766.169,8634184.219,25.864
533769.212,8634134.312,26.189
533772.256,8634084.404,27.181
533775.299,8634034.497,26.948
533780.086,8633984.866,26.830
533792.601,8633936.457,27.584
533805.116,8633888.049,27.479
