Easting,Northing,Height
554528.550,8516535.788,
554549.950,8516490.599,
554571.350,8516445.410,
554592.751,8516400.221,
554614.151,8516355.032,
554635.551,8516309.844,
554656.952,8516264.655,
554678.352,8516219.466,
554708.719,8516180.322,
554742.584,8516143.537,
554777.188,8516107.499,
554814.330,8516074.026,
554851.473,8516040.553,
554888.616,8516007.080,
554925.758,8515973.607,
554935.293,8515924.888,
554943.757,8515875.610,
554952.222,8515826.331,
554960.686,8515777.053,
554969.150,8515727.774,
554972.484,8515678.153,
554970.633,8515628.187,
554968.781,8515578.222,
554966.930,8515528.256,
554965.078,8515478.290,
554963.227,8515428.325,
554961.375,8515378.359,
554959.524,8515328.393,
554957.672,8515278.428,
554955.821,8515228.462,
554953.969,8515178.496,
554951.844,8515128.552,
554945.954,8515078.900,
554940.064,8515029.248,
554934.174,8514979.596,
554928.284,8514929.944,
554922.394,8514880.292,
554916.504,8514830.640,
554910.614,8514780.989,
554904.724,8514731.337,
554898.834,8514681.685,
554881.706,8514634.957,
554862.630,8514588.739,
554843.553,8514542.521,
554824.476,8514496.303,
554805.400,8514450.086,
554786.323,8514403.868,
554765.701,8514359.034,
554721.114,8514336.408,
554676.527,8514313.781,
554631.939,8514291.154,
554587.352,8514268.527,
554542.765,8514245.900,
554498.177,8514223.274,
554453.590,8514200.647,
554409.003,8514178.020,
554374.114,8514142.264,
554339.381,8514106.297,
554304.648,8514070.330,
554269.915,8514034.363,
557615.178,8562783.347,
557663.458,8562795.532,
557712.071,8562807.229,
557760.687,8562818.906,
557754.210,8562771.835,
557728.454,8562728.979,
557702.698,8562686.123,
557670.661,8562653.970,
557620.669,8562653.097,
557588.250,8562667.042,
557599.528,8562715.753,
557610.807,8562764.465,
557610.081,8562752.465,
557598.803,8562703.754,
557587.524,8562655.042,
557636.856,8562655.380,
557684.675,8562660.017,
557710.431,8562702.873,
557736.187,8562745.729,
557760.290,8562789.028,
557738.064,8562811.426,
557689.451,8562799.729,
557640.838,8562788.033,
550705.994,8511073.433,
550682.733,8511117.663,
550687.312,8511161.783,
550711.358,8511205.621,
550735.403,8511249.460,
550759.449,8511293.298,
550783.494,8511337.137,
550807.540,8511380.975,
550831.585,8511424.814,
550855.631,8511468.652,
550874.652,8511513.843,
550875.861,8511563.828,
550877.071,8511613.814,
550878.280,8511663.799,
550879.489,8511713.784,
550887.967,8511761.060,
550920.049,8511799.411,
550952.131,8511837.761,
550984.214,8511876.111,
551017.807,8511912.412,
551064.084,8511931.345,
551110.360,8511950.278,
551156.637,8511969.211,
551201.552,8511990.032,
551234.113,8512027.977,
551266.674,8512065.921,
551299.234,8512103.866,
551331.795,8512141.810,
551364.324,8512179.782,
551396.588,8512217.980,
551428.851,8512256.178,
551461.115,8512294.375,
551493.378,8512332.573,
551525.642,8512370.771,
551557.905,8512408.968,
551598.801,8512429.116,
551648.794,8512429.988,
551692.838,8512416.368,
551727.587,8512380.417,
551762.335,8512344.465,
551797.084,8512308.513,
551828.975,8512270.984,
551840.448,8512222.318,
551851.920,8512173.652,
551863.393,8512124.986,
551874.865,8512076.320,
551883.870,8512027.344,
551884.743,8511977.352,
551885.615,8511927.359,
551886.488,8511877.367,
551887.361,8511827.374,
551888.233,8511777.382,
551888.076,8511727.421,
551884.129,8511677.577,
551880.182,8511627.733,
551876.235,8511577.889,
551872.288,8511528.045,
551868.341,8511478.201,
551864.394,8511428.357,
551864.076,8511378.402,
551864.948,8511328.409,
551865.821,8511278.417,
551866.693,8511228.425,
551867.566,8511178.432,
