HeightBatt1,Easting,Northing
701.683776855469,540395.530,8633368.100
696.2177734375,540434.637,8633337.598
697.731079101563,540470.604,8633302.865
745.556213378906,540506.571,8633268.132
785.70458984375,540503.397,8633227.693
788.378295898438,540478.424,8633184.376
773.374816894531,540453.451,8633141.059
766.411071777344,540424.009,8633104.327
782.277587890625,540374.418,8633097.939
797.269287109375,540324.828,8633091.551
801.265075683594,540275.238,8633085.163
818.924377441406,540225.648,8633078.775
829.80712890625,540176.057,8633072.387
833.764709472656,540127.718,8633059.926
826.317810058594,540079.638,8633046.202
837.198791503906,540031.559,8633032.478
836.123107910156,539983.479,8633018.753
839.356628417969,539937.351,8633001.040
836.273315429688,539897.012,8632971.498
825.893371582031,539856.673,8632941.955
826.129028320313,539816.334,8632912.412
810.764526367188,539775.995,8632882.870
811.431030273438,539735.657,8632853.327
801.670471191406,539696.746,8632822.397
805.042785644531,539668.399,8632781.209
802.915283203125,539640.052,8632740.022
801.527221679688,539623.634,8632694.033
783.14111328125,539615.550,8632644.691
783.14111328125,539614.198,8632648.813
801.527221679688,539622.283,8632698.155
802.915283203125,539640.085,8632743.598
805.042785644531,539668.432,8632784.786
801.670471191406,539696.780,8632825.973
811.431030273438,539736.324,8632856.295
810.764526367188,539776.663,8632885.837
826.129028320313,539817.002,8632915.380
825.893371582031,539857.340,8632944.923
836.273315429688,539897.679,8632974.465
839.356628417969,539938.018,8633004.008
836.123107910156,539984.451,8633021.111
837.198791503906,540032.530,8633034.835
826.317810058594,540080.610,8633048.559
833.764709472656,540128.689,8633062.284
829.80712890625,540177.073,8633074.534
818.924377441406,540226.663,8633080.922
801.265075683594,540276.253,8633087.310
797.269287109375,540325.844,8633093.698
782.277587890625,540375.434,8633100.086
766.411071777344,540425.024,8633106.475
773.374816894531,540453.311,8633144.820
788.378295898438,540478.284,8633188.137
767.148681640625,540503.256,8633231.454
711.019287109375,540500.816,8633270.910
709.303527832031,540464.849,8633305.642
698.993713378906,540428.882,8633340.375
595.015686035156,541663.295,8623599.421
592.69482421875,541622.516,8623627.645
597.639221191406,541581.890,8623656.791
598.323120117188,541541.263,8623685.937
605.429016113281,541500.637,8623715.083
608.284973144531,541460.010,8623744.229
618.696472167969,541419.384,8623773.375
620.135314941406,541378.757,8623802.521
628.070129394531,541338.131,8623831.667
627.232727050781,541297.504,8623860.812
628.012512207031,541257.884,8623891.295
626.535400390625,541218.640,8623922.277
629.339599609375,541179.395,8623953.259
625.875122070313,541140.150,8623984.240
628.551696777344,541100.906,8624015.222
623.18359375,541061.661,8624046.204
624.108215332031,541022.417,8624077.185
617.438903808594,540983.172,8624108.167
617.597229003906,540943.928,8624139.149
617.356628417969,540904.683,8624170.131
615.000915527344,540865.439,8624201.112
625.401428222656,540826.194,8624232.094
625.065002441406,540786.949,8624263.076
627.736877441406,540747.705,8624294.057
623.5673828125,540708.460,8624325.039
624.591003417969,540669.216,8624356.021
618.819519042969,540629.971,8624387.002
618.419494628906,540589.215,8624415.961
611.99072265625,540548.385,8624444.821
614.212280273438,540507.555,8624473.681
610.762512207031,540466.724,8624502.541
612.074279785156,540425.894,8624531.401
606.926879882813,540385.064,8624560.261
599.737426757813,540344.234,8624589.121
604.4091796875,540303.404,8624617.981
600.24560546875,540262.574,8624646.841
603.51318359375,540221.744,8624675.701
597.515930175781,540180.913,8624704.561
599.146789550781,540140.083,8624733.421
596.910705566406,540099.253,8624762.281
602.785827636719,540058.423,8624791.141
601.548217773438,540017.593,8624820.001
601.039123535156,539976.763,8624848.861
609.115173339844,539935.877,8624877.642
607.592224121094,539894.933,8624906.340
615.236999511719,539853.989,8624935.039
611.974975585938,539813.045,8624963.737
616.69873046875,539772.101,8624992.436
614.451782226563,539731.158,8625021.134
609.000610351563,539690.214,8625049.832
601.6787109375,539649.270,8625078.531
